longitude [°],latitude [°]
12.716578,61.636362
12.716532,61.636372
12.716488,61.636387
12.716448,61.636396
12.716406,61.636405
12.716367,61.636402
12.716320,61.636395
12.716280,61.636390
12.716240,61.636383
12.716194,61.636377
12.716158,61.636369
12.716118,61.636363
12.716077,61.636354
12.716032,61.636344
12.715983,61.636339
12.715952,61.636323
12.715964,61.636298
12.715984,61.636280
12.716006,61.636262
12.716025,61.636245
12.716041,61.636226
12.716052,61.636206
12.716050,61.636186
12.716027,61.636169
12.716016,61.636147
12.716001,61.636128
12.715987,61.636108
12.715972,61.636088
12.715953,61.636068
12.715944,61.636049
12.715925,61.636029
12.715902,61.636003
12.715877,61.635989
12.715871,61.635970
12.715863,61.635948
12.715854,61.635931
12.715846,61.635911
12.715844,61.635890
12.715830,61.635871
12.715825,61.635849
12.715820,61.635829
12.715816,61.635811
12.715815,61.635787
12.715815,61.635768
12.715815,61.635744
12.715843,61.635725
12.715857,61.635701
12.715878,61.635681
12.715883,61.635663
12.715899,61.635642
12.715911,61.635623
12.715929,61.635605
12.715952,61.635588
12.715965,61.635566
12.715976,61.635546
12.715994,61.635525
12.716014,61.635499
12.716023,61.635474
12.716022,61.635454
12.716030,61.635427
12.716049,61.635404
12.716060,61.635380
12.716076,61.635364
12.716090,61.635344
12.716097,61.635319
12.716094,61.635292
12.716093,61.635268
12.716073,61.635251
12.716052,61.635236
12.716025,61.635215
12.716006,61.635198
12.715976,61.635180
12.715957,61.635162
12.715921,61.635141
12.715898,61.635123
12.715876,61.635102
12.715850,61.635083
12.715823,61.635070
12.715794,61.635045
12.715766,61.635023
12.715744,61.635006
12.715719,61.634990
12.715698,61.634974
12.715675,61.634955
12.715635,61.634927
12.715599,61.634906
12.715568,61.634892
12.715546,61.634877
12.715530,61.634859
12.715497,61.634840
12.715474,61.634816
12.715456,61.634788
12.715425,61.634768
12.715397,61.634745
12.715372,61.634725
12.715349,61.634708
12.715321,61.634685
12.715287,61.634669
12.715254,61.634656
12.715231,61.634640
12.715200,61.634630
12.715154,61.634631
12.715092,61.634632
12.715035,61.634636
12.714986,61.634643
12.714935,61.634632
12.714897,61.634631
12.714859,61.634630
12.714820,61.634632
12.714770,61.634632
12.714700,61.634637
12.714649,61.634636
12.714608,61.634633
12.714549,61.634625
12.714498,61.634625
12.714464,61.634615
12.714441,61.634601
12.714411,61.634589
12.714372,61.634582
12.714330,61.634580
12.714281,61.634573
12.714221,61.634572
12.714169,61.634567
12.714132,61.634572
12.714090,61.634567
12.714046,61.634566
12.714002,61.634576
12.713964,61.634577
12.713921,61.634583
12.713879,61.634586
12.713840,61.634590
12.713780,61.634599
12.713733,61.634593
12.713691,61.634589
12.713647,61.634579
12.713596,61.634569
12.713549,61.634564
12.713505,61.634557
12.713476,61.634543
12.713445,61.634524
12.713426,61.634506
12.713392,61.634488
12.713346,61.634472
12.713300,61.634458
12.713267,61.634440
12.713224,61.634427
12.713189,61.634418
12.713148,61.634400
12.713107,61.634393
12.713069,61.634381
12.713032,61.634369
12.712997,61.634357
12.712962,61.634349
12.712925,61.634337
