longitude [°],latitude [°]
13.125247,61.694014
13.139439,61.694194
13.140522,61.694014
13.140861,61.693753
13.140781,61.693753
13.141439,61.694481
13.141647,61.694347
13.141881,61.694714
13.141789,61.694881
13.141950,61.694928
13.141861,61.694825
13.141897,61.694819
13.141833,61.695031
13.141842,61.695131
13.141856,61.695422
13.141858,61.695586
13.141858,61.695581
13.141811,61.695169
13.142469,61.694728
13.140467,61.693322
13.136889,61.693989
13.133856,61.694711
13.123958,61.698203
13.123719,61.698278
13.119747,61.700653
13.119597,61.700806
13.119617,61.701244
13.119803,61.701669
13.124556,61.693836
13.124494,61.693622
13.124892,61.693783
